"affiliation_id","reference_doctor_id","facility_id","department","designation","employment_type","status","start_date","end_date","verification_status","source_type"
"AFF-000001","REF-KA-000001","FAC-TN-0031","Department of Gastroenterology","Senior Consultant","VISITING_CONSULTANT","CURRENT","2000-12-10","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000002","REF-KA-000001","FAC-JH-0411","Department of Obstetrics","Junior Consultant","PART_TIME","CURRENT","2013-04-27","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000003","REF-MH-000002","FAC-GJ-0219","Department of Psychiatry","Consultant","PART_TIME","ENDED","2001-01-18","2006-03-25","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000004","REF-MH-000002","FAC-AS-0429","Department of Obstetrics","Senior Resident","CONSULTANT","ENDED","2020-10-05","2023-09-20","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000005","REF-MH-000002","FAC-JH-0405","Department of Pediatrics","Senior Resident","FULL_TIME","ENDED","2013-04-17","2015-08-20","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000006","REF-TR-000003","FAC-KER-0001","Department of Cardiology","Medical Officer","CONSULTANT","CURRENT","2018-09-29","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000007","REF-TR-000003","FAC-DL-0104","Department of Pulmonology","Registrar","FULL_TIME","CURRENT","2002-07-09","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000008","REF-KA-000004","FAC-AS-0440","Department of Pulmonology","Junior Resident","FULL_TIME","CURRENT","2002-06-13","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000009","REF-GA-000005","FAC-AS-0434","Department of ENT","Senior Consultant","CONSULTANT","CURRENT","2012-01-28","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000010","REF-TN-000006","FAC-RJ-0236","Department of Nephrology","Head of Department","RESIDENT","CURRENT","2009-02-03","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000011","REF-TN-000006","FAC-PB-0295","Department of Nephrology","Junior Resident","VISITING_CONSULTANT","CURRENT","2017-05-15","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000012","REF-TN-000007","FAC-PB-0282","Department of Emergency Medicine","Resident Physician","CONSULTANT","CURRENT","2003-02-08","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000013","REF-KER-000008","FAC-MH-0077","Department of Obstetrics","Medical Officer","RESIDENT","CURRENT","2021-12-25","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000014","REF-KER-000008","FAC-AP-0160","Department of Anesthesiology","Head of Department","CONSULTANT","CURRENT","2022-08-22","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000015","REF-KER-000009","FAC-BR-0399","Department of Ophthalmology","Head of Department","PART_TIME","CURRENT","2017-07-27","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000016","REF-KER-000009","FAC-GJ-0221","Department of Dermatology","Head of Department","PART_TIME","ENDED","2008-05-28","2016-09-13","PENDING","SYNTHETIC_REFERENCE"
"AFF-000017","REF-TN-000010","FAC-AS-0447","Department of Nephrology","Registrar","FULL_TIME","CURRENT","2014-07-21","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000018","REF-TN-000010","FAC-JH-0417","Department of Ophthalmology","Registrar","VISITING_CONSULTANT","CURRENT","2008-09-20","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000019","REF-UP-000011","FAC-JH-0411","Department of Nephrology","Junior Resident","PART_TIME","ENDED","2003-12-10","2005-03-02","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000020","REF-KA-000012","FAC-WB-0196","Department of Cardiology","Medical Officer","CONSULTANT","CURRENT","2007-02-24","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000021","REF-MH-000014","FAC-MH-0094","Department of Psychiatry","Junior Resident","VISITING_CONSULTANT","ENDED","2005-05-04","2013-01-06","PENDING","SYNTHETIC_REFERENCE"
"AFF-000022","REF-RJ-000015","FAC-TN-0041","Department of Surgery","Senior Resident","CONSULTANT","CURRENT","2007-07-10","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000023","REF-RJ-000015","FAC-JH-0401","Department of Ophthalmology","Consultant","PART_TIME","ENDED","2018-04-25","2025-12-20","PENDING","SYNTHETIC_REFERENCE"
"AFF-000024","REF-RJ-000015","FAC-PB-0276","Department of Neurology","Junior Consultant","FULL_TIME","ENDED","2002-10-24","2007-05-24","PENDING","SYNTHETIC_REFERENCE"
"AFF-000025","REF-RJ-000016","FAC-OD-0373","Department of Pulmonology","Junior Consultant","FULL_TIME","ENDED","2001-01-18","2001-11-01","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000026","REF-RJ-000016","FAC-RJ-0226","Department of Psychiatry","Senior Consultant","RESIDENT","CURRENT","2013-09-10","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000027","REF-KA-000017","FAC-TG-0135","Department of Radiology","Senior Resident","FULL_TIME","CURRENT","2004-05-28","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000028","REF-AP-000018","FAC-DL-0115","Department of Neurosurgery","Resident Physician","RESIDENT","CURRENT","2004-03-05","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000029","REF-AP-000018","FAC-OD-0361","Department of Orthopedics","Registrar","FULL_TIME","CURRENT","2002-06-09","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000030","REF-MH-000019","FAC-UP-0257","Department of Gastroenterology","Senior Consultant","CONSULTANT","ENDED","2003-04-04","2013-01-31","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000031","REF-CG-000020","FAC-AS-0441","Department of Gastroenterology","Junior Resident","FULL_TIME","ENDED","2017-06-09","2019-01-03","PENDING","SYNTHETIC_REFERENCE"
"AFF-000032","REF-CG-000020","FAC-BR-0389","Department of Emergency Medicine","Associate Consultant","CONSULTANT","CURRENT","2000-02-02","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000033","REF-MH-000021","FAC-AS-0444","Department of Radiology","Senior Consultant","CONSULTANT","ENDED","2015-05-10","2024-02-24","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000034","REF-ML-000022","FAC-WB-0177","Department of Dermatology","Associate Consultant","RESIDENT","ENDED","2000-07-09","2003-11-15","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000035","REF-ML-000022","FAC-RJ-0246","Department of ENT","Registrar","CONSULTANT","ENDED","2007-12-04","2011-08-11","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000036","REF-ML-000022","FAC-KER-0018","Department of Pediatrics","Senior Consultant","PART_TIME","CURRENT","2002-11-22","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000037","REF-KER-000023","FAC-UP-0267","Department of Nephrology","Consultant","CONSULTANT","CURRENT","2019-07-10","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000038","REF-KER-000023","FAC-MH-0078","Department of Psychiatry","Registrar","VISITING_CONSULTANT","CURRENT","2021-01-01","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000039","REF-OD-000025","FAC-MP-0331","Department of Dermatology","Registrar","FULL_TIME","CURRENT","2015-07-13","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000040","REF-OD-000025","FAC-CG-0478","Department of Ophthalmology","Associate Consultant","PART_TIME","CURRENT","2001-09-12","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000041","REF-KA-000026","FAC-KA-0070","Department of Pediatrics","Junior Consultant","CONSULTANT","CURRENT","2006-01-02","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000042","REF-KA-000026","FAC-RJ-0227","Department of Surgery","Head of Department","CONSULTANT","CURRENT","2013-09-21","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000043","REF-BR-000027","FAC-MH-0085","Department of Orthopedics","Medical Officer","CONSULTANT","CURRENT","2016-03-01","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000044","REF-BR-000027","FAC-TG-0136","Department of Dermatology","Resident Physician","PART_TIME","CURRENT","2008-02-27","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000045","REF-BR-000027","FAC-UP-0268","Department of Neurology","Consultant","FULL_TIME","CURRENT","2015-03-15","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000046","REF-TN-000029","FAC-HR-0309","Department of Ophthalmology","Consultant","VISITING_CONSULTANT","ENDED","2004-08-08","2007-06-17","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000047","REF-TN-000030","FAC-BR-0391","Department of Obstetrics","Senior Resident","VISITING_CONSULTANT","CURRENT","2009-03-09","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000048","REF-TN-000030","FAC-KER-0008","Department of Emergency Medicine","Junior Consultant","RESIDENT","CURRENT","2005-04-07","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000049","REF-MH-000031","FAC-HP-0460","Department of Neurosurgery","Senior Resident","PART_TIME","CURRENT","2009-11-19","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000050","REF-OD-000032","FAC-DL-0121","Department of Neurology","Associate Consultant","VISITING_CONSULTANT","ENDED","2015-09-04","2025-02-10","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000051","REF-OD-000032","FAC-JH-0406","Department of ENT","Junior Resident","RESIDENT","ENDED","2007-06-09","2014-02-11","PENDING","SYNTHETIC_REFERENCE"
"AFF-000052","REF-DL-000033","FAC-DL-0102","Department of Medicine","Senior Resident","PART_TIME","CURRENT","2011-08-14","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000053","REF-KA-000034","FAC-AP-0167","Department of Surgery","Medical Officer","VISITING_CONSULTANT","ENDED","2013-09-03","2022-12-07","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000054","REF-UP-000035","FAC-HR-0314","Department of Endocrinology","Senior Consultant","VISITING_CONSULTANT","ENDED","2007-02-21","2013-06-16","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000055","REF-UP-000035","FAC-WB-0188","Department of Nephrology","Medical Officer","VISITING_CONSULTANT","ENDED","2008-06-28","2017-03-13","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000056","REF-AP-000036","FAC-KER-0012","Department of Ophthalmology","Associate Consultant","CONSULTANT","ENDED","2020-10-08","2029-05-19","PENDING","SYNTHETIC_REFERENCE"
"AFF-000057","REF-AP-000036","FAC-KER-0010","Department of Ophthalmology","Senior Consultant","RESIDENT","CURRENT","2005-12-18","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000058","REF-KER-000038","FAC-KA-0070","Department of Pediatrics","Associate Consultant","CONSULTANT","ENDED","2003-09-16","2008-10-13","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000059","REF-KER-000038","FAC-WB-0192","Department of Cardiology","Consultant","FULL_TIME","CURRENT","2006-01-31","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000060","REF-KER-000039","FAC-RJ-0231","Department of Psychiatry","Junior Consultant","FULL_TIME","ENDED","2012-10-23","2018-04-12","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000061","REF-KER-000039","FAC-AP-0173","Department of Oncology","Medical Officer","CONSULTANT","CURRENT","2018-11-26","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000062","REF-KA-000040","FAC-RJ-0250","Department of Nephrology","Junior Consultant","FULL_TIME","ENDED","2021-03-13","2021-10-11","VERIFIED","SYNTHETIC_REFERENCE"
