"facility_id","facility_name","facility_type","city","district","state","facility_identifier","verification_status","source_type"
"FAC-KER-0001","NeuroCare Reference Clinic 0001","CLINIC","Thrissur","Thrissur","Kerala","SYN-FAC-KER-0001","PENDING","SYNTHETIC_REFERENCE"
"FAC-KER-0002","NeuroCare Reference Medical Institute 0002","PRIVATE_HOSPITAL","Kozhikode","Kozhikode","Kerala","SYN-FAC-KER-0002","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KER-0003","NeuroCare Reference Medical College & Hospital 0003","MEDICAL_COLLEGE_HOSPITAL","Thrissur","Thrissur","Kerala","SYN-FAC-KER-0003","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KER-0004","NeuroCare Reference Medical Centre 0004","PRIVATE_HOSPITAL","Thrissur","Thrissur","Kerala","SYN-FAC-KER-0004","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KER-0005","NeuroCare Reference Healthcare Centre 0005","HEALTHCARE_CENTRE","Kannur","Kannur","Kerala","SYN-FAC-KER-0005","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KER-0006","NeuroCare Reference Government Hospital 0006","GOVERNMENT_HOSPITAL","Thrissur","Thrissur","Kerala","SYN-FAC-KER-0006","PENDING","SYNTHETIC_REFERENCE"
"FAC-KER-0007","NeuroCare Reference Government Hospital 0007","GOVERNMENT_HOSPITAL","Thiruvananthapuram","Thiruvananthapuram","Kerala","SYN-FAC-KER-0007","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KER-0008","NeuroCare Reference Medical Foundation 0008","PRIVATE_HOSPITAL","Thiruvananthapuram","Thiruvananthapuram","Kerala","SYN-FAC-KER-0008","PENDING","SYNTHETIC_REFERENCE"
"FAC-KER-0009","NeuroCare Reference Healthcare Centre 0009","HEALTHCARE_CENTRE","Palakkad","Palakkad","Kerala","SYN-FAC-KER-0009","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KER-0010","NeuroCare Reference Clinic 0010","CLINIC","Palakkad","Palakkad","Kerala","SYN-FAC-KER-0010","PENDING","SYNTHETIC_REFERENCE"
"FAC-KER-0011","NeuroCare Reference Healthcare Centre 0011","HEALTHCARE_CENTRE","Palakkad","Palakkad","Kerala","SYN-FAC-KER-0011","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KER-0012","NeuroCare Reference Health Centre 0012","PRIVATE_HOSPITAL","Kochi","Kochi","Kerala","SYN-FAC-KER-0012","PENDING","SYNTHETIC_REFERENCE"
"FAC-KER-0013","NeuroCare Reference Specialty Hospital 0013","SPECIALTY_HOSPITAL","Palakkad","Palakkad","Kerala","SYN-FAC-KER-0013","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KER-0014","NeuroCare Reference Medical Foundation 0014","PRIVATE_HOSPITAL","Kozhikode","Kozhikode","Kerala","SYN-FAC-KER-0014","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KER-0015","NeuroCare Reference Government Hospital 0015","GOVERNMENT_HOSPITAL","Kochi","Kochi","Kerala","SYN-FAC-KER-0015","PENDING","SYNTHETIC_REFERENCE"
"FAC-KER-0016","NeuroCare Reference Health Centre 0016","PRIVATE_HOSPITAL","Kannur","Kannur","Kerala","SYN-FAC-KER-0016","PENDING","SYNTHETIC_REFERENCE"
"FAC-KER-0017","NeuroCare Reference Healthcare Centre 0017","HEALTHCARE_CENTRE","Kozhikode","Kozhikode","Kerala","SYN-FAC-KER-0017","PENDING","SYNTHETIC_REFERENCE"
"FAC-KER-0018","NeuroCare Reference Specialty Hospital 0018","SPECIALTY_HOSPITAL","Thrissur","Thrissur","Kerala","SYN-FAC-KER-0018","PENDING","SYNTHETIC_REFERENCE"
"FAC-KER-0019","NeuroCare Reference Government Hospital 0019","GOVERNMENT_HOSPITAL","Palakkad","Palakkad","Kerala","SYN-FAC-KER-0019","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KER-0020","NeuroCare Reference Government Hospital 0020","GOVERNMENT_HOSPITAL","Thiruvananthapuram","Thiruvananthapuram","Kerala","SYN-FAC-KER-0020","PENDING","SYNTHETIC_REFERENCE"
"FAC-KER-0021","NeuroCare Reference Medical Academy 0021","PRIVATE_HOSPITAL","Thrissur","Thrissur","Kerala","SYN-FAC-KER-0021","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KER-0022","NeuroCare Reference Healthcare Centre 0022","HEALTHCARE_CENTRE","Kozhikode","Kozhikode","Kerala","SYN-FAC-KER-0022","PENDING","SYNTHETIC_REFERENCE"
"FAC-KER-0023","NeuroCare Reference Healthcare Centre 0023","HEALTHCARE_CENTRE","Kochi","Kochi","Kerala","SYN-FAC-KER-0023","PENDING","SYNTHETIC_REFERENCE"
"FAC-KER-0024","NeuroCare Reference Specialty Hospital 0024","SPECIALTY_HOSPITAL","Thrissur","Thrissur","Kerala","SYN-FAC-KER-0024","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KER-0025","NeuroCare Reference Hospital 0025","PRIVATE_HOSPITAL","Palakkad","Palakkad","Kerala","SYN-FAC-KER-0025","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0026","NeuroCare Reference Clinic 0026","CLINIC","Chennai","Chennai","Tamil Nadu","SYN-FAC-TN-0026","PENDING","SYNTHETIC_REFERENCE"
"FAC-TN-0027","NeuroCare Reference Specialty Hospital 0027","SPECIALTY_HOSPITAL","Salem","Salem","Tamil Nadu","SYN-FAC-TN-0027","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0028","NeuroCare Reference Healthcare Centre 0028","HEALTHCARE_CENTRE","Tiruchirappalli","Tiruchirappalli","Tamil Nadu","SYN-FAC-TN-0028","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0029","NeuroCare Reference Government Hospital 0029","GOVERNMENT_HOSPITAL","Tiruchirappalli","Tiruchirappalli","Tamil Nadu","SYN-FAC-TN-0029","PENDING","SYNTHETIC_REFERENCE"
"FAC-TN-0030","NeuroCare Reference Medical College & Hospital 0030","MEDICAL_COLLEGE_HOSPITAL","Chennai","Chennai","Tamil Nadu","SYN-FAC-TN-0030","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0031","NeuroCare Reference Clinic 0031","CLINIC","Salem","Salem","Tamil Nadu","SYN-FAC-TN-0031","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0032","NeuroCare Reference Government Hospital 0032","GOVERNMENT_HOSPITAL","Salem","Salem","Tamil Nadu","SYN-FAC-TN-0032","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0033","NeuroCare Reference Healthcare Institute 0033","PRIVATE_HOSPITAL","Coimbatore","Coimbatore","Tamil Nadu","SYN-FAC-TN-0033","PENDING","SYNTHETIC_REFERENCE"
"FAC-TN-0034","NeuroCare Reference Clinic 0034","CLINIC","Madurai","Madurai","Tamil Nadu","SYN-FAC-TN-0034","PENDING","SYNTHETIC_REFERENCE"
"FAC-TN-0035","NeuroCare Reference Healthcare Centre 0035","HEALTHCARE_CENTRE","Madurai","Madurai","Tamil Nadu","SYN-FAC-TN-0035","PENDING","SYNTHETIC_REFERENCE"
"FAC-TN-0036","NeuroCare Reference Medical Centre 0036","PRIVATE_HOSPITAL","Madurai","Madurai","Tamil Nadu","SYN-FAC-TN-0036","VERIFIED","SYNTHETIC_REFERENCE"
